BackendTime,ch0sens,ch1sens,ch2sens,ch3sens,ch4sens,ch5sens,ch6sens,ch7sens,ch8sens,ch9sens,ch10sens,ch11sens,temp0,temp1,temp2,temp3,system_status,system_time
1749746343311.7322,1.0318340063095093,1.0399961471557617,-8932.0,-9016.0,-7438.0,264.0,-42571.0,0.19823057949543,-42126.0,-41310.0,-40253.0,-6901.0,0.0,nan,nan,nan,524289,3846
1749746343317.5847,1.0318028926849365,1.0399671792984009,-8943.0,-9020.0,-7458.0,316.0,-42572.0,0.17998340725898743,-42111.0,-41303.0,-40291.0,-6895.0,0.0,nan,nan,nan,524289,3851
1749746343319.4138,1.031750202178955,1.0399342775344849,-8924.0,-9015.0,-7371.0,310.0,-42606.0,0.19684821367263794,-42104.0,-41338.0,-40265.0,-6875.0,0.0,nan,nan,nan,524289,3855
1749746343322.3687,1.0318048000335693,1.0400869846343994,-8931.0,-9006.0,-7379.0,280.0,-42580.0,0.19408349692821503,-42072.0,-41319.0,-40271.0,-6899.0,0.0,nan,nan,nan,524289,3858
1749746343325.403,1.0318418741226196,1.040042519569397,-8925.0,-8982.0,-7435.0,344.0,-42590.0,0.19297760725021362,-42130.0,-41314.0,-40298.0,-6918.0,0.0,nan,nan,nan,524289,3861
1749746343329.3381,1.0318418741226196,1.040042519569397,-8925.0,-8982.0,-7435.0,344.0,-42590.0,0.19297760725021362,-42130.0,-41314.0,-40298.0,-6918.0,0.0,nan,nan,nan,524289,3864
1749746343332.6711,1.0317405462265015,1.0400444269180298,-8886.0,-8984.0,-7380.0,320.0,-42546.0,0.19297760725021362,-42099.0,-41309.0,-40296.0,-6908.0,0.0,nan,nan,nan,524289,3867
1749746343346.9873,1.0318048000335693,1.0399361848831177,-8944.0,-8970.0,-7362.0,342.0,-42591.0,0.19353054463863373,-42109.0,-41303.0,-40258.0,-6947.0,0.0,nan,nan,nan,524289,3882
1749746343433.8677,1.0318048000335693,1.040015459060669,-8900.0,-9046.0,-7451.0,324.0,-42546.0,0.19187171757221222,-42143.0,-41343.0,-40261.0,-6827.0,0.0,nan,nan,nan,524289,3970
1749746343534.7656,1.0317950248718262,1.0400347709655762,-9065.0,-9042.0,-7389.0,273.0,-42555.0,0.18495991826057434,-42098.0,-41361.0,-40279.0,-6884.0,0.0,nan,nan,nan,524289,4071
1749746343635.6306,1.0318048000335693,1.0400599241256714,-9026.0,-9036.0,-7499.0,315.0,-42559.0,0.1902128905057907,-42115.0,-41338.0,-40289.0,-6852.0,0.0,nan,nan,nan,524289,4172
1749746343735.9705,1.0318340063095093,1.0400328636169434,-9061.0,-9006.0,-7359.0,300.0,-42565.0,0.19242465496063232,-42110.0,-41314.0,-40293.0,-6928.0,0.0,nan,nan,nan,524289,4272
1749746343836.0422,1.031767725944519,1.0400464534759521,-9021.0,-9019.0,-7374.0,338.0,-42574.0,0.18164224922657013,-42106.0,-41298.0,-40324.0,-6872.0,0.0,nan,nan,nan,524289,4372
1749746343936.7935,1.0318048000335693,1.040015459060669,-9008.0,-9028.0,-7359.0,344.0,-42577.0,0.1857893317937851,-42126.0,-41325.0,-40250.0,-6844.0,0.0,nan,nan,nan,524289,4473
1749746344037.6826,1.0317209959030151,1.0400444269180298,-8985.0,-9039.0,-7388.0,272.0,-42574.0,0.19048935174942017,-42106.0,-41312.0,-40298.0,-6810.0,0.0,nan,nan,nan,524289,4574
1749746344139.4006,1.0316801071166992,1.0400328636169434,-9011.0,-9059.0,-7371.0,296.0,-42553.0,0.1896599382162094,-42126.0,-41329.0,-40322.0,-6895.0,0.0,nan,nan,nan,524289,4675
1749746344239.146,1.0318126678466797,1.0400173664093018,-9047.0,-9052.0,-7441.0,359.0,-42573.0,0.19242465496063232,-42131.0,-41305.0,-40305.0,-6866.0,0.0,nan,nan,nan,524289,4776
1749746344339.2952,1.0317872762680054,1.0400347709655762,-9086.0,-9043.0,-7541.0,286.0,-42573.0,0.18938346207141876,-42106.0,-41306.0,-40272.0,-6882.0,0.0,nan,nan,nan,524289,4876
1749746344440.136,1.0318067073822021,1.0400464534759521,-9081.0,-9027.0,-7399.0,294.0,-42539.0,0.18717168271541595,-42108.0,-41330.0,-40238.0,-6897.0,0.0,nan,nan,nan,524289,4977
1749746344540.3406,1.0317950248718262,1.0399399995803833,-9102.0,-9026.0,-7397.0,241.0,-42571.0,0.19214819371700287,-42113.0,-41322.0,-40241.0,-6871.0,0.0,nan,nan,nan,524289,5077
1749746344641.4287,1.0317853689193726,1.0399922132492065,-8970.0,-9038.0,-7398.0,342.0,-42551.0,0.1880011111497879,-42109.0,-41325.0,-40238.0,-6873.0,0.0,nan,nan,nan,524289,5178
1749746344741.7534,1.0318204164505005,1.040069580078125,-8951.0,-9041.0,-7396.0,316.0,-42566.0,0.1880011111497879,-42138.0,-41317.0,-40278.0,-6877.0,0.0,nan,nan,nan,524289,5278
1749746344844.1377,1.0316449403762817,1.0400909185409546,-9043.0,-9080.0,-7411.0,308.0,-42571.0,0.19270113110542297,-42111.0,-41302.0,-40272.0,-6912.0,0.0,nan,nan,nan,524289,5380
1749746344943.4966,1.0317950248718262,1.0400869846343994,-9013.0,-9110.0,-7392.0,260.0,-42583.0,0.18827757239341736,-42117.0,-41316.0,-40290.0,-6887.0,0.0,nan,nan,nan,524289,5480
1749746345044.4133,1.0317736864089966,1.0400116443634033,-8975.0,-9060.0,-7417.0,316.0,-42552.0,0.18717168271541595,-42124.0,-41329.0,-40270.0,-6926.0,0.0,nan,nan,nan,524289,5581
1749746345145.464,1.03171706199646,1.0400309562683105,-8972.0,-9010.0,-7336.0,254.0,-42545.0,0.19297760725021362,-42106.0,-41287.0,-40287.0,-6896.0,0.0,nan,nan,nan,524289,5682
1749746345245.5337,1.031660556793213,1.039986491203308,-8975.0,-9069.0,-7335.0,262.0,-42553.0,0.19104230403900146,-42101.0,-41310.0,-40268.0,-6867.0,0.0,nan,nan,nan,524289,5782
1749746345346.3936,1.0317950248718262,1.0400367975234985,-8911.0,-9059.0,-7395.0,224.0,-42536.0,0.1863422691822052,-42114.0,-41307.0,-40247.0,-6859.0,0.0,nan,nan,nan,524289,5883
1749746345446.8264,1.03171706199646,1.0400521755218506,-8903.0,-9074.0,-7369.0,308.0,-42571.0,0.1965717375278473,-42076.0,-41331.0,-40304.0,-6858.0,0.0,nan,nan,nan,524289,5984
1749746345548.2227,1.0317599773406982,1.040102481842041,-8952.0,-9046.0,-7334.0,157.0,-42574.0,0.19601880013942719,-42091.0,-41316.0,-40267.0,-6867.0,0.0,nan,nan,nan,524289,6085
1749746345648.8743,1.031750202178955,1.040042519569397,-8936.0,-9091.0,-7363.0,312.0,-42568.0,0.18717168271541595,-42141.0,-41317.0,-40280.0,-6881.0,0.0,nan,nan,nan,524289,6186
1749746345749.841,1.0317424535751343,1.0400657653808594,-8988.0,-9125.0,-7417.0,318.0,-42557.0,0.20182470977306366,-42114.0,-41313.0,-40311.0,-6865.0,0.0,nan,nan,nan,524289,6287
1749746345850.595,1.0317132472991943,1.0400986671447754,-9003.0,-9096.0,-7358.0,335.0,-42563.0,0.1965717375278473,-42104.0,-41290.0,-40309.0,-6886.0,0.0,nan,nan,nan,526337,6387
1749746345951.0679,1.0317405462265015,1.0400173664093018,-9012.0,-9021.0,-7334.0,291.0,-42565.0,0.20597180724143982,-42101.0,-41311.0,-40291.0,-6870.0,0.0,nan,nan,nan,526337,6487
1749746346051.7126,1.031676173210144,1.0400058031082153,-8967.0,-9027.0,-7493.0,224.0,-42549.0,0.19795410335063934,-42104.0,-41333.0,-40289.0,-6878.0,0.0,nan,nan,nan,526337,6588
1749746346152.26,1.0316917896270752,1.0400173664093018,-8890.0,-9025.0,-7480.0,211.0,-42593.0,0.19491291046142578,-42129.0,-41325.0,-40298.0,-6878.0,0.0,nan,nan,nan,526337,6689
1749746346252.5557,1.0317366123199463,1.0400890111923218,-8983.0,-9107.0,-7451.0,266.0,-42582.0,0.19518938660621643,-42089.0,-41314.0,-40229.0,-6864.0,0.0,nan,nan,nan,526337,6789
1749746346353.9958,1.031756043434143,1.0400773286819458,-8978.0,-9050.0,-7448.0,207.0,-42539.0,0.19518938660621643,-42120.0,-41323.0,-40313.0,-6821.0,0.0,nan,nan,nan,526337,6890
1749746346453.186,1.0317093133926392,1.0400193929672241,-9001.0,-9069.0,-7452.0,271.0,-42561.0,0.1902128905057907,-42099.0,-41308.0,-40273.0,-6846.0,0.0,nan,nan,nan,526337,6990
1749746346554.972,1.0317209959030151,1.040081262588501,-9027.0,-9062.0,-7489.0,217.0,-42554.0,0.19518938660621643,-42134.0,-41313.0,-40262.0,-6860.0,0.0,nan,nan,nan,526337,7091
1749746346654.1587,1.0316118001937866,1.040042519569397,-8937.0,-9064.0,-7420.0,326.0,-42587.0,0.1868952214717865,-42108.0,-41332.0,-40254.0,-6888.0,0.0,nan,nan,nan,526337,7191
1749746346754.567,1.031693696975708,1.0401160717010498,-8976.0,-9055.0,-7418.0,274.0,-42532.0,0.1874481588602066,-42100.0,-41306.0,-40287.0,-6921.0,0.0,nan,nan,nan,526337,7291
1749746346855.3633,1.0317151546478271,1.0400580167770386,-9049.0,-9092.0,-7475.0,267.0,-42586.0,0.2015482485294342,-42109.0,-41334.0,-40297.0,-6896.0,0.0,nan,nan,nan,526337,7392
1749746346956.1125,1.031738519668579,1.0401546955108643,-8985.0,-9054.0,-7436.0,266.0,-42595.0,0.19104230403900146,-42123.0,-41310.0,-40318.0,-6906.0,0.0,nan,nan,nan,526337,7493
1749746347058.175,1.0316957235336304,1.0400928258895874,-8949.0,-9073.0,-7450.0,348.0,-42575.0,0.20348355174064636,-42112.0,-41294.0,-40251.0,-6914.0,0.0,nan,nan,nan,526337,7593
1749746347156.1445,1.0316742658615112,1.040009617805481,-8998.0,-9083.0,-7427.0,274.0,-42604.0,0.183024600148201,-42095.0,-41334.0,-40258.0,-6886.0,0.0,nan,nan,nan,526337,7693
1749746347256.5667,1.0317326784133911,1.0400173664093018,-8985.0,-9102.0,-7461.0,321.0,-42581.0,0.19131876528263092,-42110.0,-41316.0,-40296.0,-6828.0,0.0,nan,nan,nan,526337,7793
1749746347356.8179,1.0317482948303223,1.0399729013442993,-9034.0,-9051.0,-7390.0,279.0,-42555.0,0.19353054463863373,-42090.0,-41328.0,-40278.0,-6837.0,0.0,nan,nan,nan,526337,7894
1749746347457.4512,1.0316801071166992,1.0400735139846802,-9017.0,-8998.0,-7631.0,204.0,-42576.0,0.19435997307300568,-42100.0,-41306.0,-40265.0,-6918.0,0.0,nan,nan,nan,526337,7994
1749746347558.084,1.0317015647888184,1.040015459060669,-8976.0,-9021.0,-7449.0,303.0,-42582.0,0.19491291046142578,-42101.0,-41289.0,-40266.0,-6874.0,0.0,nan,nan,nan,526337,8095
1749746347659.965,1.0317424535751343,1.040009617805481,-8982.0,-9012.0,-7460.0,243.0,-42555.0,0.18440696597099304,-42114.0,-41306.0,-40277.0,-6819.0,0.0,nan,nan,nan,526337,8196
1749746347760.0042,1.031654715538025,1.0399671792984009,-8950.0,-9025.0,-7484.0,220.0,-42581.0,0.1998894065618515,-42116.0,-41292.0,-40269.0,-6839.0,0.0,nan,nan,nan,526337,8296
1749746347859.2966,1.0317015647888184,1.0399787425994873,-9012.0,-9045.0,-7435.0,320.0,-42560.0,0.19823057949543,-42111.0,-41284.0,-40265.0,-6935.0,0.0,nan,nan,nan,526337,8396
1749746347959.4705,1.031682014465332,1.0400309562683105,-9044.0,-8986.0,-7384.0,298.0,-42576.0,0.19076582789421082,-42112.0,-41322.0,-40284.0,-6888.0,0.0,nan,nan,nan,526337,8496
1749746348060.564,1.031646966934204,1.0400967597961426,-8988.0,-8948.0,-7381.0,273.0,-42570.0,0.19270113110542297,-42126.0,-41298.0,-40279.0,-6926.0,0.0,nan,nan,nan,526337,8597
1749746348161.165,1.031664490699768,1.0400232076644897,-8949.0,-8990.0,-7277.0,155.0,-42569.0,0.1841304898262024,-42110.0,-41295.0,-40287.0,-6867.0,0.0,nan,nan,nan,526337,8698
1749746348262.5095,1.0316780805587769,1.039986491203308,-9011.0,-9014.0,-7364.0,313.0,-42565.0,0.19297760725021362,-42114.0,-41303.0,-40240.0,-6860.0,0.0,nan,nan,nan,526337,8799
1749746348362.8552,1.0316294431686401,1.0399787425994873,-9030.0,-9031.0,-7363.0,288.0,-42578.0,0.1863422691822052,-42093.0,-41310.0,-40277.0,-6865.0,0.0,nan,nan,nan,526337,8900
1749746348463.065,1.0317132472991943,1.0399999618530273,-9063.0,-9012.0,-7482.0,353.0,-42572.0,0.17970694601535797,-42113.0,-41291.0,-40261.0,-6840.0,0.0,nan,nan,nan,526337,9000
1749746348563.422,1.0316625833511353,1.0400116443634033,-9119.0,-8980.0,-7481.0,338.0,-42584.0,0.18053635954856873,-42111.0,-41277.0,-40252.0,-6909.0,0.0,nan,nan,nan,526337,9100
1749746348664.9954,1.0317326784133911,1.0399651527404785,-9179.0,-9012.0,-7439.0,257.0,-42587.0,0.1857893317937851,-42121.0,-41361.0,-40277.0,-6903.0,0.0,nan,nan,nan,526337,9201
1749746348763.6309,1.031744360923767,1.0400347709655762,-9099.0,-9007.0,-7315.0,246.0,-42586.0,0.1874481588602066,-42104.0,-41364.0,-40231.0,-6874.0,0.0,nan,nan,nan,526337,9301
1749746348864.2747,1.031660556793213,1.039955496788025,-9136.0,-9000.0,-7376.0,213.0,-42551.0,0.19131876528263092,-42109.0,-41262.0,-40282.0,-6894.0,0.0,nan,nan,nan,526337,9401
1749746348965.693,1.0316118001937866,1.040075421333313,-9090.0,-8953.0,-7305.0,317.0,-42561.0,0.18717168271541595,-42112.0,-41283.0,-40274.0,-6905.0,0.0,nan,nan,nan,526337,9502
1749746349065.5828,1.0316859483718872,1.0400387048721313,-8965.0,-9028.0,-7340.0,191.0,-42582.0,0.19159524142742157,-42100.0,-41282.0,-40282.0,-6866.0,0.0,nan,nan,nan,526337,9602
1749746349166.7876,1.031664490699768,1.0399632453918457,-9041.0,-8998.0,-7398.0,273.0,-42548.0,0.17970694601535797,-42094.0,-41303.0,-40245.0,-6887.0,0.0,nan,nan,nan,526337,9704
1749746349266.8662,1.0316332578659058,1.0399999618530273,-9041.0,-9006.0,-7563.0,328.0,-42588.0,0.1902128905057907,-42083.0,-41299.0,-40251.0,-6861.0,0.0,nan,nan,nan,526337,9804
1749746349367.3657,1.0316780805587769,1.0400387048721313,-9099.0,-8988.0,-7364.0,321.0,-42592.0,0.188554048538208,-42083.0,-41288.0,-40279.0,-6885.0,0.0,nan,nan,nan,526337,9904
1749746349467.4067,1.0316839218139648,1.040189504623413,-9058.0,-8973.0,-7399.0,299.0,-42567.0,0.18772463500499725,-42121.0,-41299.0,-40288.0,-6845.0,0.0,nan,nan,nan,526337,10004
1749746349567.9778,1.0316625833511353,1.0400831699371338,-9044.0,-9120.0,-7498.0,295.0,-42567.0,0.18827757239341736,-42116.0,-41293.0,-40298.0,-6870.0,0.0,nan,nan,nan,526337,10105
1749746349669.0466,1.031569004058838,1.0400947332382202,-9043.0,-9018.0,-7495.0,304.0,-42553.0,0.17915399372577667,-42083.0,-41312.0,-40265.0,-6910.0,0.0,nan,nan,nan,526337,10205
1749746349768.7598,1.031648874282837,1.0400928258895874,-8986.0,-9076.0,-7464.0,235.0,-42602.0,0.17887751758098602,-42145.0,-41301.0,-40231.0,-6902.0,0.0,nan,nan,nan,526337,10305
1749746349868.7993,1.0316118001937866,1.0400618314743042,-9063.0,-9037.0,-7512.0,167.0,-42578.0,0.1863422691822052,-42109.0,-41296.0,-40275.0,-6899.0,0.0,nan,nan,nan,526337,10406
1749746349969.0342,1.031637191772461,1.040081262588501,-9027.0,-9068.0,-7466.0,223.0,-42556.0,0.19380702078342438,-42108.0,-41303.0,-40308.0,-6872.0,0.0,nan,nan,nan,526337,10506
1749746350070.1306,1.0315923690795898,1.0400502681732178,-9084.0,-8991.0,-7481.0,175.0,-42543.0,0.1863422691822052,-42079.0,-41281.0,-40264.0,-6884.0,0.0,nan,nan,nan,526337,10607
1749746350171.1797,1.0316352844238281,1.0400387048721313,-9040.0,-9066.0,-7435.0,309.0,-42547.0,0.1868952214717865,-42081.0,-41298.0,-40259.0,-6885.0,0.0,nan,nan,nan,526337,10708
1749746350271.3792,1.0315709114074707,1.039982557296753,-8998.0,-8956.0,-7470.0,314.0,-42550.0,0.19159524142742157,-42124.0,-41325.0,-40284.0,-6806.0,0.0,nan,nan,nan,526337,10808
1749746350372.3464,1.0316839218139648,1.0399748086929321,-9052.0,-8989.0,-7486.0,352.0,-42579.0,0.188554048538208,-42122.0,-41327.0,-40287.0,-6895.0,0.0,nan,nan,nan,526337,10909
1749746350472.9155,1.031637191772461,1.0399574041366577,-8998.0,-9054.0,-7620.0,337.0,-42564.0,0.19187171757221222,-42135.0,-41296.0,-40272.0,-6877.0,0.0,nan,nan,nan,526337,11010
1749746350573.7466,1.031545639038086,1.0400038957595825,-9003.0,-9109.0,-7473.0,266.0,-42555.0,0.1965717375278473,-42111.0,-41298.0,-40245.0,-6872.0,0.0,nan,nan,nan,526337,11111
1749746350673.8909,1.0315221548080444,1.0399999618530273,-8967.0,-9075.0,-7483.0,265.0,-42587.0,0.19048935174942017,-42105.0,-41312.0,-40302.0,-6822.0,0.0,nan,nan,nan,526337,11211
1749746350774.958,1.0315669775009155,1.0400561094284058,-8993.0,-9047.0,-7463.0,314.0,-42570.0,0.19297760725021362,-42129.0,-41310.0,-40301.0,-6869.0,0.0,nan,nan,nan,526337,11312
1749746350875.451,1.0316390991210938,1.039955496788025,-8999.0,-8971.0,-7378.0,348.0,-42537.0,0.19270113110542297,-42120.0,-41318.0,-40272.0,-6884.0,0.0,nan,nan,nan,526337,11413
1749746350976.3667,1.031619668006897,1.039994239807129,-9030.0,-8960.0,-7340.0,237.0,-42558.0,0.19048935174942017,-42126.0,-41319.0,-40262.0,-6827.0,0.0,nan,nan,nan,526337,11513
1749746351077.3499,1.0315260887145996,1.0399651527404785,-8983.0,-8965.0,-7381.0,346.0,-42557.0,0.19518938660621643,-42105.0,-41345.0,-40303.0,-6788.0,0.0,nan,nan,nan,526337,11614
1749746351178.052,1.031584620475769,1.0400232076644897,-9059.0,-9002.0,-7335.0,311.0,-42558.0,0.1896599382162094,-42131.0,-41334.0,-40256.0,-6869.0,0.0,nan,nan,nan,526337,11715
1749746351278.4817,1.0315650701522827,1.0400347709655762,-9012.0,-9007.0,-7352.0,316.0,-42550.0,0.19546586275100708,-42104.0,-41331.0,-40284.0,-6896.0,0.0,nan,nan,nan,526337,11815
1749746351378.9211,1.0315884351730347,1.040054202079773,-8985.0,-8951.0,-7393.0,322.0,-42573.0,0.19546586275100708,-42084.0,-41279.0,-40291.0,-6877.0,0.0,nan,nan,nan,526337,11916
1749746351480.0513,1.0316040515899658,1.0401179790496826,-9021.0,-8961.0,-7348.0,292.0,-42546.0,0.19601880013942719,-42105.0,-41290.0,-40282.0,-6919.0,0.0,nan,nan,nan,526337,12017
1749746351580.3984,1.0315417051315308,1.0400502681732178,-8985.0,-8915.0,-7404.0,355.0,-42548.0,0.19297760725021362,-42085.0,-41271.0,-40299.0,-6854.0,0.0,nan,nan,nan,526337,12117
1749746351681.5186,1.0314851999282837,1.040015459060669,-9008.0,-8986.0,-7339.0,265.0,-42564.0,0.1891070008277893,-42113.0,-41340.0,-40298.0,-6805.0,0.0,nan,nan,nan,526337,12218
