BackendTime,ch0sens,ch1sens,ch2sens,ch3sens,ch4sens,ch5sens,ch6sens,ch7sens,ch8sens,ch9sens,ch10sens,ch11sens,temp0,temp1,temp2,temp3,system_status,system_time
1748804279060.8477,1.031699538230896,1.0098598003387451,-9268.0,-8840.0,-7201.0,377.0,-42394.0,0.2593309283256531,-41910.0,-41123.0,-40104.0,-6798.0,0.0,nan,nan,nan,524289,3824
1748804279062.9636,1.031761884689331,1.009828805923462,-9254.0,-8795.0,-7197.0,405.0,-42356.0,0.25546032190322876,-41934.0,-41087.0,-40126.0,-6854.0,0.0,nan,nan,nan,524289,3828
1748804279066.3604,1.0317190885543823,1.0098849534988403,-9265.0,-8833.0,-7206.0,420.0,-42367.0,0.260160356760025,-41921.0,-41131.0,-40104.0,-6815.0,0.0,nan,nan,nan,524289,3833
1748804279070.4956,1.0317249298095703,1.0099623203277588,-9272.0,-8802.0,-7265.0,429.0,-42387.0,0.25324854254722595,-41962.0,-41111.0,-40095.0,-6807.0,0.0,nan,nan,nan,524289,3837
1748804279074.6401,1.0317950248718262,1.0099583864212036,-9302.0,-8793.0,-7152.0,398.0,-42372.0,0.2529720664024353,-41920.0,-41119.0,-40121.0,-6846.0,0.0,nan,nan,nan,524289,3841
1748804279077.5247,1.0317736864089966,1.0099313259124756,-9289.0,-8840.0,-7144.0,387.0,-42385.0,0.24080729484558105,-41910.0,-41153.0,-40079.0,-6833.0,0.0,nan,nan,nan,524289,3845
1748804279081.39,1.031711220741272,1.0098713636398315,-9298.0,-8841.0,-7145.0,376.0,-42358.0,0.2535250186920166,-41897.0,-41126.0,-40129.0,-6797.0,0.0,nan,nan,nan,524289,3849
1748804279119.5825,1.0318886041641235,1.0098868608474731,-9223.0,-8819.0,-7180.0,408.0,-42369.0,0.24771910905838013,-41919.0,-41153.0,-40114.0,-6833.0,0.0,nan,nan,nan,524289,3886
1748804279193.4097,1.0317599773406982,1.009915828704834,-9257.0,-8872.0,-7182.0,497.0,-42361.0,0.2427425980567932,-41903.0,-41107.0,-40089.0,-6812.0,0.0,nan,nan,nan,524289,3961
1748804279293.371,1.031756043434143,1.0099120140075684,-9290.0,-8874.0,-7181.0,433.0,-42362.0,0.25048384070396423,-41910.0,-41124.0,-40124.0,-6828.0,0.0,nan,nan,nan,524289,4061
1748804279394.382,1.0317132472991943,1.0099371671676636,-9218.0,-8862.0,-7078.0,463.0,-42328.0,0.2585015296936035,-41949.0,-41135.0,-40122.0,-6799.0,0.0,nan,nan,nan,524289,4162
1748804279495.9487,1.03168785572052,1.0099139213562012,-9262.0,-8906.0,-7149.0,442.0,-42368.0,0.25877800583839417,-41921.0,-41139.0,-40094.0,-6769.0,0.0,nan,nan,nan,524289,4263
1748804279595.778,1.0316801071166992,1.0099623203277588,-9249.0,-8849.0,-7063.0,387.0,-42366.0,0.26430743932724,-41912.0,-41090.0,-40115.0,-6796.0,0.0,nan,nan,nan,524289,4363
1748804279697.112,1.03171706199646,1.0098984241485596,-9254.0,-8836.0,-7028.0,522.0,-42350.0,0.25380149483680725,-41888.0,-41130.0,-40121.0,-6789.0,0.0,nan,nan,nan,524289,4464
1748804279796.5703,1.0317268371582031,1.0099120140075684,-9262.0,-8851.0,-7088.0,566.0,-42375.0,0.25546032190322876,-41896.0,-41080.0,-40106.0,-6815.0,0.0,nan,nan,nan,524289,4564
1748804279897.2996,1.0316567420959473,1.0099332332611084,-9185.0,-8859.0,-7076.0,414.0,-42381.0,0.24744263291358948,-41908.0,-41142.0,-40103.0,-6823.0,0.0,nan,nan,nan,524289,4665
1748804279998.519,1.0317424535751343,1.009921669960022,-9302.0,-8826.0,-7058.0,405.0,-42371.0,0.25822505354881287,-41906.0,-41167.0,-40092.0,-6832.0,0.0,nan,nan,nan,524289,4766
1748804280098.3127,1.0317093133926392,1.0098752975463867,-9289.0,-8863.0,-7059.0,412.0,-42376.0,0.24578380584716797,-41910.0,-41136.0,-40074.0,-6839.0,0.0,nan,nan,nan,524289,4866
1748804280200.1304,1.0317463874816895,1.0099080801010132,-9273.0,-8838.0,-7052.0,364.0,-42385.0,0.2546309232711792,-41904.0,-41106.0,-40127.0,-6783.0,0.0,nan,nan,nan,524289,4967
1748804280300.4006,1.03171706199646,1.0099778175354004,-9209.0,-8846.0,-7076.0,410.0,-42402.0,0.2573956251144409,-41929.0,-41116.0,-40076.0,-6834.0,0.0,nan,nan,nan,524289,5068
1748804280402.022,1.0316976308822632,1.0099139213562012,-9287.0,-8828.0,-7110.0,389.0,-42364.0,0.25269559025764465,-41927.0,-41114.0,-40100.0,-6852.0,0.0,nan,nan,nan,524289,5169
1748804280501.9158,1.0317814350128174,1.0099602937698364,-9245.0,-8855.0,-7068.0,369.0,-42368.0,0.2557367980480194,-41908.0,-41102.0,-40111.0,-6823.0,0.0,nan,nan,nan,524289,5269
1748804280602.2173,1.0316897630691528,1.0098791122436523,-9282.0,-8809.0,-7163.0,411.0,-42371.0,0.2394249439239502,-41930.0,-41119.0,-40091.0,-6789.0,0.0,nan,nan,nan,524289,5370
1748804280703.7979,1.0317522287368774,1.0098694562911987,-9286.0,-8795.0,-7175.0,393.0,-42373.0,0.2596074044704437,-41903.0,-41158.0,-40089.0,-6816.0,0.0,nan,nan,nan,524289,5471
1748804280805.3381,1.0317463874816895,1.0099623203277588,-9291.0,-8817.0,-7286.0,390.0,-42349.0,0.2665192186832428,-41952.0,-41128.0,-40146.0,-6790.0,0.0,nan,nan,nan,524289,5572
1748804280905.599,1.0317463874816895,1.0098984241485596,-9298.0,-8834.0,-7205.0,434.0,-42380.0,0.2562897503376007,-41924.0,-41114.0,-40101.0,-6826.0,0.0,nan,nan,nan,524289,5673
1748804281007.752,1.0317950248718262,1.0099506378173828,-9351.0,-8808.0,-7229.0,400.0,-42351.0,0.25490736961364746,-41933.0,-41137.0,-40102.0,-6806.0,0.0,nan,nan,nan,524289,5774
1748804281107.8442,1.0317970514297485,1.009900450706482,-9246.0,-8839.0,-7171.0,438.0,-42383.0,0.26181918382644653,-41916.0,-41114.0,-40142.0,-6777.0,0.0,nan,nan,nan,524289,5875
1748804281210.0383,1.0318360328674316,1.0099583864212036,-9254.0,-8823.0,-7176.0,431.0,-42384.0,0.25601327419281006,-41951.0,-41098.0,-40093.0,-6790.0,0.0,nan,nan,nan,524289,5976
1748804281310.8997,1.0317950248718262,1.010002851486206,-9287.0,-8891.0,-7055.0,437.0,-42366.0,0.26181918382644653,-41917.0,-41110.0,-40128.0,-6805.0,0.0,nan,nan,nan,524289,6077
1748804281411.163,1.0318379402160645,1.009861707687378,-9232.0,-8845.0,-7129.0,426.0,-42361.0,0.25380149483680725,-41960.0,-41114.0,-40129.0,-6774.0,0.0,nan,nan,nan,524289,6178
1748804281511.4429,1.0317931175231934,1.0098713636398315,-9187.0,-8808.0,-7225.0,436.0,-42380.0,0.25767210125923157,-41934.0,-41139.0,-40113.0,-6836.0,0.0,nan,nan,nan,524289,6278
1748804281612.3784,1.0318028926849365,1.0099254846572876,-9157.0,-8788.0,-7200.0,411.0,-42340.0,0.2604368329048157,-41903.0,-41099.0,-40116.0,-6841.0,0.0,nan,nan,nan,524289,6379
1748804281712.762,1.031722903251648,1.0099254846572876,-9156.0,-8889.0,-7328.0,385.0,-42391.0,0.2573956251144409,-41934.0,-41099.0,-40112.0,-6843.0,0.0,nan,nan,nan,524289,6479
1748804281811.976,1.0317190885543823,1.0099371671676636,-9144.0,-8790.0,-7188.0,456.0,-42392.0,0.25435444712638855,-41916.0,-41137.0,-40122.0,-6807.0,0.0,nan,nan,nan,524289,6579
1748804281912.4878,1.031750202178955,1.0098906755447388,-9139.0,-8810.0,-7168.0,430.0,-42389.0,0.25767210125923157,-41934.0,-41096.0,-40108.0,-6827.0,0.0,nan,nan,nan,524289,6680
1748804282012.8967,1.0317639112472534,1.0099642276763916,-9191.0,-8846.0,-7140.0,399.0,-42385.0,0.25490736961364746,-41907.0,-41101.0,-40144.0,-6822.0,0.0,nan,nan,nan,524289,6780
