BackendTime,ch0sens,ch1sens,ch2sens,ch3sens,ch4sens,ch5sens,ch6sens,ch7sens,ch8sens,ch9sens,ch10sens,ch11sens,temp0,temp1,temp2,temp3,system_status,system_time
1748794234282.7676,1.0192984342575073,-0.08620388805866241,0.615097165107727,-41060.0,-5076.0,-6837.0,-44283.0,2.023984909057617,-12.941422462463379,-13.275857925415039,-13.995681762695312,-6081.0,nan,0.0,0.0,0.0,525313,2274574
1748794234287.4666,1.0206544399261475,-0.08620407432317734,0.61822110414505,-41082.0,-5097.0,-6843.0,-44313.0,2.010849952697754,-12.940986633300781,-13.276294708251953,-13.995176315307617,-6087.0,nan,0.0,0.0,0.0,525313,2274586
1748794234292.6487,1.0187643766403198,-0.08620302379131317,0.6185334920883179,-41076.0,-5161.0,-6778.0,-44298.0,2.0053517818450928,-12.94002628326416,-13.275927543640137,-13.994827270507812,-6116.0,nan,0.0,0.0,0.0,525313,2274595
1748794234295.2942,1.0187643766403198,-0.08620302379131317,0.6185334920883179,-41076.0,-5161.0,-6778.0,-44298.0,2.0053517818450928,-12.94002628326416,-13.275927543640137,-13.994827270507812,-6116.0,nan,0.0,0.0,0.0,525313,2274597
1748794234297.6726,1.0187643766403198,-0.08620302379131317,0.6185334920883179,-41076.0,-5161.0,-6778.0,-44298.0,2.0053517818450928,-12.94002628326416,-13.275927543640137,-13.994827270507812,-6116.0,nan,0.0,0.0,0.0,525313,2274599
1748794234299.478,1.0190523862838745,-0.08620376139879227,0.6141600012779236,-41064.0,-5064.0,-6792.0,-44296.0,2.0093226432800293,-12.940969467163086,-13.275491714477539,-13.99608325958252,-6048.0,nan,0.0,0.0,0.0,525313,2274618
1748794234301.257,1.0194240808486938,-0.08620506525039673,0.6100989580154419,-41080.0,-5055.0,-6786.0,-44316.0,2.00626802444458,-12.940794944763184,-13.275910377502441,-13.994669914245605,-6071.0,nan,0.0,0.0,0.0,525313,2274622
1748794234358.9219,1.021554946899414,-0.08620190620422363,0.6188458800315857,-41086.0,-5199.0,-6896.0,-44318.0,2.0126826763153076,-12.940672874450684,-13.275456428527832,-13.995332717895508,-6153.0,nan,0.0,0.0,0.0,525313,2274696
1748794234459.0803,1.0225026607513428,-0.08620283752679825,0.6057254672050476,-41067.0,-5189.0,-6885.0,-44276.0,2.0206246376037598,-12.940532684326172,-13.276469230651855,-13.994600296020508,-6023.0,nan,0.0,0.0,0.0,525313,2274796
1748794234558.6316,1.019486904144287,-0.08620302379131317,0.6254060864448547,-41081.0,-5179.0,-6833.0,-44312.0,2.018486499786377,-12.940393447875977,-13.275788307189941,-13.995280265808105,-6136.0,nan,0.0,0.0,0.0,525313,2274896
1748794234659.2693,1.0206701755523682,-0.08620357513427734,0.6204078197479248,-41073.0,-5210.0,-6893.0,-44280.0,2.0245957374572754,-12.940427780151367,-13.275700569152832,-13.995036125183105,-6120.0,nan,0.0,0.0,0.0,525313,2274997
1748794234761.3237,1.0200732946395874,-0.0862029641866684,0.6169715523719788,-41066.0,-5192.0,-6897.0,-44286.0,2.0151264667510986,-12.941003799438477,-13.276294708251953,-13.99547290802002,-6011.0,nan,0.0,0.0,0.0,525313,2275098
1748794234861.9038,1.0185496807098389,-0.08620450645685196,0.620095431804657,-41061.0,-5167.0,-6886.0,-44266.0,2.006573438644409,-12.941108703613281,-13.276102066040039,-13.995315551757812,-6113.0,nan,0.0,0.0,0.0,525313,2275199
1748794234962.4521,1.0199686288833618,-0.08620401471853256,0.6194706559181213,-41068.0,-5160.0,-6917.0,-44317.0,2.0197083950042725,-12.941457748413086,-13.276346206665039,-13.994285583496094,-6103.0,nan,0.0,0.0,0.0,525313,2275300
1748794235064.1396,1.0204083919525146,-0.08620252460241318,0.6079121828079224,-41060.0,-5270.0,-6889.0,-44284.0,2.0117664337158203,-12.940585136413574,-13.275649070739746,-13.9945650100708,-6087.0,nan,0.0,0.0,0.0,525313,2275401
1748794235164.5786,1.0189005136489868,-0.08620382845401764,0.6029139757156372,-41079.0,-5215.0,-6824.0,-44281.0,2.0129880905151367,-12.941335678100586,-13.276206970214844,-13.994547843933105,-6022.0,nan,0.0,0.0,0.0,525313,2275502
1748794235265.897,1.0194398164749146,-0.08620617538690567,0.6172839403152466,-41103.0,-5194.0,-6872.0,-44299.0,2.0151264667510986,-12.94072437286377,-13.276538848876953,-13.99501895904541,-6043.0,nan,0.0,0.0,0.0,525313,2275602
1748794235366.4453,1.021884799003601,-0.08620456606149673,0.6129104495048523,-41097.0,-5165.0,-6877.0,-44310.0,2.005962610244751,-12.941161155700684,-13.275491714477539,-13.995105743408203,-6038.0,nan,0.0,0.0,0.0,525313,2275703
1748794235465.5095,1.023486852645874,-0.08620382845401764,0.5979157090187073,-41062.0,-5235.0,-6859.0,-44284.0,2.0074899196624756,-12.941125869750977,-13.276294708251953,-13.995227813720703,-6074.0,nan,0.0,0.0,0.0,525313,2275803
1748794235567.4937,1.0222617387771606,-0.08620129525661469,0.6054130792617798,-41078.0,-5211.0,-6826.0,-44356.0,2.0090172290802,-12.941108703613281,-13.276067733764648,-13.99489688873291,-6095.0,nan,0.0,0.0,0.0,525313,2275904
1748794235668.3167,1.021518349647522,-0.08620419353246689,0.6172839403152466,-41025.0,-5273.0,-6792.0,-44305.0,2.0129880905151367,-12.94119644165039,-13.27697467803955,-13.995298385620117,-6143.0,nan,0.0,0.0,0.0,525313,2276005
1748794235769.4832,1.0243560075759888,-0.08620654791593552,0.6097865700721741,-41104.0,-5244.0,-6839.0,-44294.0,2.0148210525512695,-12.940881729125977,-13.276520729064941,-13.99550724029541,-5998.0,nan,0.0,0.0,0.0,525313,2276106
1748794235870.8289,1.0247801542282104,-0.08620388805866241,0.6154096126556396,-41064.0,-5162.0,-6809.0,-44312.0,2.005657196044922,-12.941266059875488,-13.276015281677246,-13.99526309967041,-6092.0,nan,0.0,0.0,0.0,525313,2276207
1748794235970.6628,1.0214868783950806,-0.08620426058769226,0.6197830438613892,-41056.0,-5199.0,-6731.0,-44270.0,2.0120718479156494,-12.941039085388184,-13.276329040527344,-13.995036125183105,-6088.0,nan,0.0,0.0,0.0,525313,2276307
1748794236070.532,1.0234031677246094,-0.08620580285787582,0.6107237339019775,-41101.0,-5191.0,-6789.0,-44289.0,2.010544538497925,-12.94072437286377,-13.276259422302246,-13.995280265808105,-6106.0,nan,0.0,0.0,0.0,525313,2276408
1748794236172.6611,1.022371768951416,-0.08620444685220718,0.6250936985015869,-41076.0,-5094.0,-6890.0,-44312.0,2.0142099857330322,-12.941388130187988,-13.275788307189941,-13.994878768920898,-5986.0,nan,0.0,0.0,0.0,525313,2276509
1748794236273.847,1.0211517810821533,-0.08620419353246689,0.6172839403152466,-41075.0,-5207.0,-6864.0,-44297.0,2.018181085586548,-12.940917015075684,-13.275857925415039,-13.99547290802002,-6063.0,nan,0.0,0.0,0.0,525313,2276610
1748794236373.3716,1.021612524986267,-0.08620493859052658,0.620095431804657,-41101.0,-5204.0,-6906.0,-44310.0,2.011461019515991,-12.940986633300781,-13.27624225616455,-13.995280265808105,-6080.0,nan,0.0,0.0,0.0,525313,2276710
1748794236474.3672,1.0269371271133423,-0.08620339632034302,0.6207202076911926,-41089.0,-5278.0,-6922.0,-44297.0,2.02337384223938,-12.940898895263672,-13.276503562927246,-13.99538516998291,-5991.0,nan,0.0,0.0,0.0,525313,2276811
1748794236574.9258,1.0236177444458008,-0.08620506525039673,0.6091617941856384,-41075.0,-5151.0,-6920.0,-44285.0,2.021541118621826,-12.941161155700684,-13.276556015014648,-13.995490074157715,-6005.0,nan,0.0,0.0,0.0,525313,2276912
1748794236676.1118,1.0240576267242432,-0.08620308339595795,0.6138476133346558,-41069.0,-5247.0,-6892.0,-44298.0,2.0117664337158203,-12.940917015075684,-13.276224136352539,-13.994704246520996,-6016.0,nan,0.0,0.0,0.0,525313,2277013
1748794236776.92,1.0234973430633545,-0.0862058624625206,0.6082245707511902,-41083.0,-5229.0,-6870.0,-44311.0,2.008100748062134,-12.940620422363281,-13.275857925415039,-13.995612144470215,-6110.0,nan,0.0,0.0,0.0,525313,2277114
1748794236879.2375,1.0231256484985352,-0.08620407432317734,0.6125980615615845,-41051.0,-5196.0,-6852.0,-44303.0,2.0142099857330322,-12.94048023223877,-13.27648639678955,-13.995001792907715,-6066.0,nan,0.0,0.0,0.0,525313,2277215
