"report-def-0-rfile"
"Iteration" "report-def-0"
("Iteration" "report-def-0")
1 483.6352149201542
2 629.1256747089571
3 839.5080074606906
4 793.650083165267
5 796.4260426399167
6 788.7643942034853
7 767.6118467701785
8 747.8256131556973
9 728.0104324532163
10 729.7970442525207
11 733.5724070299705
12 717.9216421835802
13 700.1035714967783
14 684.6409866908302
15 671.8190385693106
16 662.217070076134
17 656.0185904315631
18 651.6550714883278
19 647.3823940574396
20 642.8967399739797
21 639.4361992695625
22 642.5655759597864
23 653.3175996616712
24 659.5914413022003
25 663.8062426650777
26 662.5861197861768
27 659.7389160946514
28 653.3487025985227
29 656.381547714687
30 726.9905363559508
31 868.0661640450467
32 921.1451330458323
33 900.5621282639622
34 874.3265559821348
35 860.1750793178722
36 853.6701678822596
37 846.7612862813127
38 816.4380519507752
39 787.02206024067
40 756.7047837380662
41 730.235313675146
42 708.4487818883233
43 717.6885380096966
44 748.8941916153412
45 755.5261528345316
46 730.1584783717435
47 709.2999235543012
48 693.903470652441
49 679.6376054301402
50 672.487142432372
51 665.6977970998329
52 659.9889558889906
53 655.1608652535646
54 650.9621269759277
55 647.3175685602462
56 643.7298966253077
57 640.6966519486695
58 638.1550031271576
59 636.0660086520267
60 634.4954826664393
61 633.5354773534273
62 632.8571389205674
63 632.3281144810371
64 631.9882487885773
65 631.7629647172143
66 631.6191235398585
67 631.541972338398
68 631.5087991845899
69 631.4604141362988
70 631.4169538108956
71 631.3922585925663
72 631.3765921244085
73 631.3657083956459
74 631.3616743740624
75 631.3550853258007
76 631.345794862022
77 631.336872933111
78 631.3319153490534
79 631.3289786610446
80 631.3262179603569
81 631.3238985700619
82 631.3217805786214
83 631.3200643932364
84 631.3184566861123
85 631.3171721481763
86 631.316116297869
87 631.3152500403932
88 631.3144956504831
89 631.3138024567766
90 631.3131511018378
91 631.3125462862498
92 631.3119429937465
93 631.311368241217
94 631.3108552910847
95 631.3103091211862
96 631.3098151145865
97 631.3093868065289
98 631.3090359135131
99 631.3087205505456
100 631.3083924476266
